customer_id;customer_name;segment
BC-11125;Becky Castell;Home Office
KH-16510;Keith Herrera;Consumer
BD-11620;Brian DeCherney;Consumer
JE-15715;Joe Elijah;Consumer
SM-20005;Sally Matthias;Consumer
CS-11845;Cari Sayre;Corporate
AT-10435;Alyssa Tate;Home Office
RB-19330;Randy Bradley;Consumer
AB-10255;Alejandro Ballentine;Home Office
CS-12400;Christopher Schild;Home Office
SS-20875;Sung Shariari;Consumer
GM-14695;Greg Maxwell;Corporate
NM-18445;Nathan Mautz;Home Office
NC-18535;Nick Crebassa;Corporate
PF-19120;Peter Fuller;Consumer
SC-20230;Scot Coram;Corporate
CA-12055;Cathy Armstrong;Home Office
MG-18205;Mitch Gastineau;Corporate
SC-20380;Shahid Collister;Consumer
BF-11170;Ben Ferrer;Home Office
NZ-18565;Nick Zandusky;Home Office
RD-19480;Rick Duston;Consumer
AB-10165;Alan Barnes;Consumer
PO-18865;Patrick O'Donnell;Consumer
FH-14350;Fred Harton;Consumer
EB-13870;Emily Burns;Consumer
AC-10615;Ann Chong;Corporate
DH-13675;Duane Huffman;Home Office
MH-17440;Mark Haberlin;Corporate
EB-13975;Erica Bern;Corporate
LS-16945;Linda Southworth;Corporate
CV-12295;Christina VanderZanden;Consumer
TR-21325;Toby Ritter;Consumer
JL-15850;John Lucas;Consumer
BP-11290;Beth Paige;Consumer
SG-20080;Sandra Glassco;Consumer
TB-21175;Thomas Boland;Corporate
SM-20320;Sean Miller;Home Office
GH-14410;Gary Hansen;Home Office
LC-16930;Linda Cazamias;Corporate
JL-15505;Jeremy Lonsdale;Consumer
IM-15070;Irene Maddox;Consumer
TS-21205;Thomas Seio;Corporate
LW-17125;Liz Willingham;Consumer
CM-11935;Carlos Meador;Consumer
SL-20155;Sara Luxemburg;Home Office
JC-16105;Julie Creighton;Corporate
HM-14980;Henry MacAllister;Consumer
BE-11335;Bill Eplett;Home Office
RA-19915;Russell Applegate;Consumer
MS-17980;Michael Stewart;Corporate
ML-18040;Michelle Lonsdale;Corporate
RM-19375;Raymond Messe;Consumer
LS-17245;Lynn Smith;Consumer
CS-12175;Charles Sheldon;Corporate
LH-16750;Larry Hughes;Consumer
JL-15175;James Lanier;Home Office
MG-17680;Maureen Gastineau;Home Office
ME-17320;Maria Etezadi;Home Office
SW-20350;Sean Wendt;Home Office
GM-14440;Gary McGarr;Consumer
PF-19165;Philip Fox;Consumer
RR-19315;Ralph Ritter;Consumer
EJ-13720;Ed Jacobs;Consumer
MC-17575;Matt Collins;Consumer
JM-15250;Janet Martin;Consumer
SB-20185;Sarah Brown;Consumer
HL-15040;Hunter Lopez;Consumer
CC-12610;Corey Catlett;Corporate
RD-19900;Ruben Dartt;Consumer
CC-12430;Chuck Clark;Home Office
EC-14050;Erin Creighton;Consumer
AC-10660;Anna Chung;Consumer
NF-18385;Natalie Fritzler;Consumer
DS-13180;David Smith;Corporate
ED-13885;Emily Ducich;Home Office
LB-16795;Laurel Beltran;Home Office
SW-20275;Scott Williamson;Consumer
LW-16825;Laurel Workman;Corporate
ER-13855;Elpida Rittenbach;Corporate
PK-18910;Paul Knutson;Home Office
CK-12595;Clytie Kelty;Consumer
JB-16045;Julia Barnett;Home Office
TH-21550;Tracy Hopkins;Home Office
JK-15640;Jim Kriz;Home Office
TS-21430;Tom Stivers;Corporate
VT-21700;Valerie Takahito;Home Office
CR-12580;Clay Rozendal;Home Office
EN-13780;Edward Nazzal;Consumer
GZ-14470;Gary Zandusky;Consumer
BS-11365;Bill Shonely;Corporate
DB-13210;Dean Braden;Consumer
CS-12130;Chad Sievert;Consumer
KW-16570;Kelly Williams;Consumer
MW-18220;Mitch Webber;Consumer
JL-15235;Janet Lee;Consumer
GT-14755;Guy Thornton;Consumer
JM-15535;Jessica Myrick;Consumer
PS-18760;Pamela Stobb;Consumer
AJ-10795;Anthony Johnson;Corporate
RC-19960;Ryan Crowe;Consumer
KN-16450;Kean Nguyen;Corporate
PV-18985;Paul Van Hugh;Home Office
RS-19870;Roy Skaria;Home Office
RA-19285;Ralph Arnett;Consumer
MC-17845;Michael Chen;Consumer
JP-15520;Jeremy Pistek;Consumer
TH-21100;Thea Hendricks;Consumer
NB-18580;Nicole Brennan;Corporate
MP-17470;Mark Packer;Home Office
AG-10300;Aleksandra Gannaway;Corporate
RE-19450;Richard Eichhorn;Consumer
HG-14965;Henry Goldwyn;Corporate
EP-13915;Emily Phan;Consumer
JR-15670;Jim Radford;Consumer
DB-13360;Dennis Bolton;Home Office
LC-17050;Liz Carlisle;Consumer
RF-19345;Randy Ferguson;Corporate
BB-11545;Brenda Bowman;Corporate
MC-17635;Matthew Clasen;Corporate
DD-13570;Dorothy Dickinson;Consumer
DB-12970;Darren Budd;Corporate
EH-14125;Eugene Hildebrand;Home Office
AB-10600;Ann Blume;Corporate
BO-11350;Bill Overfelt;Corporate
VM-21685;Valerie Mitchum;Home Office
CC-12220;Chris Cortes;Consumer
KT-16465;Kean Takahito;Consumer
FO-14305;Frank Olsen;Consumer
DB-13405;Denny Blanton;Consumer
JP-16135;Julie Prescott;Home Office
MM-17920;Michael Moore;Consumer
HH-15010;Hilary Holden;Corporate
PO-18850;Patrick O'Brill;Consumer
DP-13390;Dennis Pardue;Home Office
KB-16405;Katrina Bavinger;Home Office
SM-20905;Susan MacKendrick;Consumer
AF-10870;Art Ferguson;Consumer
GH-14485;Gene Hale;Corporate
MH-17785;Maya Herman;Corporate
SR-20425;Sharelle Roach;Home Office
YS-21880;Yana Sorensen;Corporate
HZ-14950;Henia Zydlo;Consumer
NC-18340;Nat Carroll;Consumer
JD-16060;Julia Dunbar;Consumer
FM-14215;Filia McAdams;Corporate
BF-11005;Barry Franz;Home Office
AW-10840;Anthony Witt;Consumer
VM-21835;Vivian Mathis;Consumer
JB-16000;Joy Bell-;Consumer
NB-18655;Nona Balk;Corporate
TC-21295;Toby Carlisle;Consumer
TB-21520;Tracy Blumstein;Consumer
MC-17590;Matt Collister;Corporate
JD-16015;Joy Daniels;Consumer
MF-18250;Monica Federle;Corporate
Dl-13600;Dorris liebe;Corporate
DB-13060;Dave Brooks;Consumer
JM-15655;Jim Mitchum;Corporate
MH-17620;Matt Hagelstein;Corporate
KC-16540;Kelly Collister;Consumer
MN-17935;Michael Nguyen;Consumer
JR-15700;Jocasta Rupert;Consumer
EM-13810;Eleni McCrary;Corporate
AH-10195;Alan Haines;Corporate
DL-12925;Daniel Lacy;Consumer
ON-18715;Odella Nelson;Corporate
JE-16165;Justin Ellison;Corporate
MB-18085;Mick Brown;Consumer
IM-15055;Ionia McGrath;Consumer
MO-17800;Meg O'Connel;Home Office
AH-10210;Alan Hwang;Consumer
HG-15025;Hunter Glantz;Consumer
CM-12160;Charles McCrossin;Consumer
GM-14500;Gene McClure;Consumer
FM-14290;Frank Merwin;Home Office
WB-21850;William Brown;Consumer
SJ-20125;Sanjit Jacobs;Home Office
SC-20050;Sample Company A;Home Office
MV-17485;Mark Van Huff;Consumer
TB-21595;Troy Blackwell;Consumer
CC-12475;Cindy Chapman;Consumer
AB-10105;Adrian Barton;Consumer
JS-15940;Joni Sundaresam;Home Office
AG-10900;Arthur Gainer;Consumer
TB-21055;Ted Butterfield;Consumer
BM-11785;Bryan Mills;Consumer
VW-21775;Victoria Wilson;Corporate
JD-15895;Jonathan Doherty;Corporate
BB-10990;Barry Blumstein;Corporate
TB-21190;Thomas Brumley;Home Office
BD-11770;Bryan Davis;Consumer
DM-12955;Dario Medina;Corporate
VP-21760;Victoria Pisteka;Corporate
PH-18790;Patricia Hirasaki;Home Office
RS-19765;Roland Schwarz;Corporate
MY-17380;Maribeth Yedwab;Corporate
PB-19210;Phillip Breyer;Corporate
DK-13090;Dave Kipp;Consumer
VG-21805;Vivek Grady;Corporate
JA-15970;Joseph Airdo;Consumer
CL-12565;Clay Ludtke;Consumer
BW-11200;Ben Wallace;Consumer
MG-17650;Matthew Grinstein;Home Office
BK-11260;Berenike Kampe;Consumer
BF-11215;Benjamin Farhat;Home Office
JL-15130;Jack Lebron;Consumer
BP-11185;Ben Peterman;Corporate
SK-19990;Sally Knutson;Consumer
MZ-17335;Maria Zettner;Home Office
BD-11605;Brian Dahlen;Consumer
SV-20365;Seth Vernon;Consumer
TP-21130;Theone Pippenger;Consumer
DM-13525;Don Miller;Corporate
DP-13105;Dave Poirier;Corporate
BP-11155;Becky Pak;Consumer
QJ-19255;Quincy Jones;Corporate
LP-17095;Liz Preis;Consumer
TM-21010;Tamara Manning;Consumer
SJ-20215;Sarah Jordon;Consumer
JG-15310;Jason Gross;Corporate
MA-17995;Michelle Arnett;Home Office
LC-16960;Lindsay Castell;Home Office
KM-16225;Kalyca Meade;Corporate
DJ-13510;Don Jones;Corporate
DB-13270;Deborah Brumfield;Home Office
CA-11965;Carol Adams;Corporate
LA-16780;Laura Armstrong;Corporate
RB-19795;Ross Baird;Home Office
CM-11815;Candace McMahon;Corporate
JH-15430;Jennifer Halladay;Consumer
EB-13705;Ed Braxton;Corporate
MO-17950;Michael Oakman;Consumer
TT-21460;Tonja Turnell;Home Office
PS-18970;Paul Stevenson;Home Office
BG-11035;Barry Gonzalez;Consumer
HD-14785;Harold Dahlen;Home Office
EH-13945;Eric Hoffmann;Consumer
NL-18310;Nancy Lomonaco;Home Office
PW-19030;Pauline Webber;Corporate
LH-17155;Logan Haushalter;Consumer
JH-15910;Jonathan Howell;Consumer
LH-16900;Lena Hernandez;Consumer
BS-11590;Brendan Sweed;Corporate
EB-13930;Eric Barreto;Consumer
NH-18610;Nicole Hansen;Corporate
BT-11440;Bobby Trafton;Consumer
MK-17905;Michael Kennedy;Corporate
DB-13615;Doug Bickford;Consumer
CA-12775;Cynthia Arntzen;Consumer
BP-11095;Bart Pistole;Corporate
TB-21625;Trudy Brown;Consumer
DK-13150;David Kendrick;Corporate
SP-20620;Stefania Perrino;Corporate
NG-18355;Nat Gilpin;Corporate
CW-11905;Carl Weiss;Home Office
NS-18640;Noel Staavos;Corporate
SZ-20035;Sam Zeldin;Home Office
SF-20065;Sandra Flanagan;Consumer
DL-12865;Dan Lawera;Consumer
KB-16240;Karen Bern;Corporate
TW-21025;Tamara Willingham;Home Office
LC-16870;Lena Cacioppo;Consumer
LW-16990;Lindsay Williams;Corporate
AS-10240;Alan Shonely;Consumer
RR-19525;Rick Reed;Corporate
CR-12730;Craig Reiter;Consumer
KN-16390;Katherine Nockton;Corporate
SC-20305;Sean Christensen;Consumer
SF-20200;Sarah Foster;Consumer
TA-21385;Tom Ashbrook;Home Office
HF-14995;Herbert Flentye;Consumer
SC-20095;Sanjit Chand;Consumer
CS-11950;Carlos Soltero;Consumer
Dp-13240;Dean percer;Home Office
SG-20470;Sheri Gordon;Consumer
FW-14395;Fred Wasserman;Corporate
SB-20290;Sean Braxton;Corporate
MY-18295;Muhammed Yedwab;Corporate
RB-19360;Raymond Buch;Consumer
AA-10375;Allen Armold;Consumer
HR-14830;Harold Ryan;Corporate
DJ-13630;Doug Jacobs;Consumer
SO-20335;Sean O'Donnell;Consumer
MH-18115;Mick Hernandez;Home Office
KW-16435;Katrina Willman;Consumer
RA-19945;Ryan Akin;Consumer
KD-16345;Katherine Ducich;Consumer
PG-18895;Paul Gonzalez;Consumer
MJ-17740;Max Jones;Consumer
CS-11860;Cari Schnelling;Consumer
HP-14815;Harold Pawlan;Home Office
BT-11530;Bradley Talbott;Home Office
AZ-10750;Annie Zypern;Consumer
JM-15265;Janet Molinari;Corporate
RD-19585;Rob Dowd;Consumer
DP-13165;David Philippe;Consumer
GA-14515;George Ashbrook;Consumer
SA-20830;Sue Ann Reed;Consumer
RD-19720;Roger Demir;Consumer
MS-17830;Melanie Seite;Consumer
AJ-10960;Astrea Jones;Consumer
AG-10330;Alex Grayson;Consumer
AJ-10780;Anthony Jacobs;Corporate
AH-10120;Adrian Hane;Home Office
NW-18400;Natalie Webber;Consumer
ND-18370;Natalie DeCherney;Consumer
AH-10075;Adam Hart;Corporate
BV-11245;Benjamin Venier;Corporate
ML-17410;Maris LaWare;Consumer
MC-18100;Mick Crebagga;Consumer
GG-14650;Greg Guthrie;Corporate
SC-20575;Sonia Cooley;Consumer
AB-10060;Adam Bellavance;Home Office
EH-14005;Erica Hernandez;Home Office
LT-17110;Liz Thompson;Consumer
AO-10810;Anthony O'Donnell;Corporate
KF-16285;Karen Ferguson;Home Office
DO-13645;Doug O'Connell;Consumer
AA-10480;Andrew Allen;Consumer
DL-13495;Dionis Lloyd;Corporate
PC-19000;Pauline Chand;Home Office
BS-11665;Brian Stugart;Consumer
PK-19075;Pete Kriz;Consumer
ML-17395;Marina Lichtenstein;Corporate
RB-19435;Richard Bierner;Consumer
SC-20725;Steven Cartwright;Consumer
BO-11425;Bobby Odegard;Consumer
VB-21745;Victoria Brennan;Corporate
CC-12685;Craig Carroll;Consumer
JL-15835;John Lee;Consumer
AR-10345;Alex Russell;Corporate
CM-12385;Christopher Martinez;Consumer
SP-20650;Stephanie Phelps;Corporate
DR-12880;Dan Reichenbach;Corporate
GA-14725;Guy Armstrong;Consumer
JO-15550;Jesus Ocampo;Home Office
MP-18175;Mike Pelletier;Home Office
AH-10690;Anna Häberlin;Corporate
FM-14380;Fred McMath;Consumer
LL-16840;Lauren Leatherbury;Consumer
PP-18955;Paul Prost;Home Office
MB-17305;Maria Bertelson;Consumer
AJ-10945;Ashley Jarboe;Consumer
JO-15145;Jack O'Briant;Corporate
EA-14035;Erin Ashbrook;Corporate
PB-18805;Patrick Bzostek;Home Office
Co-12640;Corey-Lock;Consumer
CT-11995;Carol Triggs;Consumer
MM-18280;Muhammed MacIntyre;Corporate
SW-20755;Steven Ward;Corporate
CR-12625;Corey Roper;Home Office
CK-12760;Cyma Kinney;Corporate
GB-14575;Giulietta Baptist;Consumer
BT-11305;Beth Thompson;Home Office
JG-15160;James Galang;Consumer
NG-18430;Nathan Gelder;Consumer
LE-16810;Laurel Elliston;Consumer
TG-21310;Toby Gnade;Consumer
HK-14890;Heather Kirkland;Corporate
MC-17275;Marc Crier;Consumer
RF-19735;Roland Fjeld;Consumer
CY-12745;Craig Yedwab;Corporate
KB-16600;Ken Brennan;Corporate
TS-21655;Trudy Schmidt;Consumer
IL-15100;Ivan Liston;Consumer
CM-12235;Chris McAfee;Consumer
DP-13000;Darren Powers;Consumer
RO-19780;Rose O'Brian;Consumer
FA-14230;Frank Atkinson;Corporate
FP-14320;Frank Preis;Consumer
JC-15385;Jenna Caffey;Consumer
SM-20950;Suzanne McNair;Corporate
MR-17545;Mathew Reese;Home Office
AM-10360;Alice McCarthy;Corporate
TS-21085;Thais Sissman;Consumer
RB-19705;Roger Barcio;Home Office
SF-20965;Sylvia Foulston;Corporate
TC-21535;Tracy Collins;Home Office
ML-18265;Muhammed Lee;Consumer
AR-10825;Anthony Rawles;Corporate
JK-15370;Jay Kimmel;Consumer
AD-10180;Alan Dominguez;Home Office
LR-17035;Lisa Ryan;Corporate
JP-15460;Jennifer Patt;Corporate
CV-12805;Cynthia Voltz;Corporate
KH-16330;Katharine Harms;Corporate
CD-11920;Carlos Daly;Consumer
MT-18070;Michelle Tran;Home Office
AG-10675;Anna Gayman;Consumer
SH-20395;Shahid Hopkins;Consumer
TP-21565;Tracy Poddar;Corporate
CC-12370;Christopher Conant;Consumer
TT-21220;Thomas Thornton;Consumer
AR-10540;Andy Reiter;Consumer
RC-19825;Roy Collins;Consumer
ND-18460;Neil Ducich;Corporate
KL-16555;Kelly Lampkin;Corporate
LW-17215;Luke Weiss;Consumer
PM-18940;Paul MacIntyre;Consumer
PJ-19015;Pauline Johnson;Consumer
RH-19510;Rick Huthwaite;Home Office
MG-18145;Mike Gockenbach;Consumer
MM-18055;Michelle Moray;Consumer
ZD-21925;Zuschuss Donatelli;Consumer
MF-17665;Maureen Fritzler;Corporate
TC-20980;Tamara Chand;Corporate
HA-14920;Helen Andreada;Consumer
NF-18475;Neil Französisch;Home Office
EH-14185;Evan Henry;Consumer
HG-14845;Harry Greene;Consumer
CC-12145;Charles Crestani;Consumer
NC-18625;Noah Childs;Corporate
KA-16525;Kelly Andreada;Consumer
AP-10915;Arthur Prichep;Consumer
SC-20680;Steve Carroll;Home Office
BS-11380;Bill Stewart;Corporate
EM-14095;Eudokia Martin;Corporate
AR-10510;Andrew Roberts;Consumer
CB-12535;Claudia Bergmann;Corporate
NM-18520;Neoma Murray;Consumer
EK-13795;Eileen Kiefer;Home Office
MM-17260;Magdelene Morse;Consumer
JJ-15445;Jennifer Jackson;Consumer
SC-20020;Sam Craven;Consumer
HJ-14875;Heather Jas;Home Office
SC-20800;Stuart Calhoun;Consumer
BG-11740;Bruce Geld;Consumer
VP-21730;Victor Preis;Home Office
AH-10030;Aaron Hawkins;Corporate
BG-11695;Brooke Gillingham;Corporate
JD-16150;Justin Deggeller;Corporate
LT-16765;Larry Tron;Consumer
JH-15985;Joseph Holt;Consumer
JB-15400;Jennifer Braxton;Corporate
SU-20665;Stephanie Ulpright;Home Office
DC-12850;Dan Campbell;Consumer
DH-13075;Dave Hallsten;Corporate
EB-14110;Eugene Barchas;Consumer
MZ-17515;Mary Zewe;Corporate
JS-15685;Jim Sink;Corporate
JD-15790;John Dryer;Consumer
PA-19060;Pete Armstrong;Home Office
SC-20845;Sung Chung;Consumer
DO-13435;Denny Ordway;Consumer
AG-10495;Andrew Gjertsen;Corporate
SE-20110;Sanjit Engle;Consumer
JK-15625;Jim Karlsson;Consumer
KC-16255;Karen Carlisle;Corporate
TN-21040;Tanja Norvell;Home Office
FC-14245;Frank Carlisle;Home Office
DN-13690;Duane Noonan;Consumer
MD-17860;Michael Dominguez;Corporate
FH-14365;Fred Hopkins;Corporate
LD-16855;Lela Donovan;Corporate
KN-16705;Kristina Nunn;Home Office
CB-12415;Christy Brittain;Consumer
DL-13315;Delfina Latchford;Consumer
RW-19540;Rick Wilson;Corporate
EB-14170;Evan Bailliet;Consumer
GK-14620;Grace Kelly;Corporate
MW-18235;Mitch Willingham;Corporate
DB-13120;David Bremer;Corporate
DC-13285;Debra Catini;Consumer
JE-15610;Jim Epp;Corporate
DV-13465;Dianna Vittorini;Consumer
RA-19885;Ruben Ausman;Corporate
PW-19240;Pierre Wener;Consumer
TG-21640;Trudy Glocke;Consumer
BT-11680;Brian Thompson;Consumer
CS-12505;Cindy Stewart;Consumer
BF-10975;Barbara Fisher;Corporate
EH-13765;Edward Hooks;Corporate
BM-11650;Brian Moss;Corporate
TS-21370;Todd Sumrall;Corporate
MC-17605;Matt Connell;Corporate
NC-18415;Nathan Cano;Consumer
GH-14425;Gary Hwang;Consumer
CS-12355;Christine Sundaresam;Consumer
NS-18505;Neola Schneider;Consumer
VD-21670;Valerie Dominguez;Consumer
VS-21820;Vivek Sundaresam;Consumer
RB-19570;Rob Beeghly;Consumer
RP-19855;Roy Phan;Corporate
AI-10855;Arianne Irving;Consumer
TM-21490;Tony Molinari;Consumer
CC-12670;Craig Carreira;Consumer
DL-13330;Denise Leinenbach;Consumer
CJ-12010;Caroline Jumper;Consumer
GW-14605;Giulietta Weimer;Consumer
ME-17725;Max Engle;Consumer
PO-19180;Philisse Overcash;Home Office
PT-19090;Pete Takahito;Consumer
PB-19105;Peter Bühler;Consumer
JF-15565;Jill Fjeld;Consumer
KS-16300;Karen Seio;Corporate
CC-12550;Clay Cheatham;Consumer
TS-21160;Theresa Swint;Corporate
JB-15925;Joni Blumstein;Consumer
LC-16885;Lena Creighton;Consumer
SH-20635;Stefanie Holloman;Corporate
LS-16975;Lindsay Shagiari;Home Office
BM-11575;Brendan Murry;Corporate
MO-17500;Mary O'Rourke;Consumer
EL-13735;Ed Ludwig;Home Office
JK-15730;Joe Kamberova;Consumer
AS-10225;Alan Schoenberger;Corporate
GB-14530;George Bell;Corporate
CS-12250;Chris Selesnick;Corporate
DA-13450;Dianna Arnett;Home Office
PS-19045;Penelope Sewall;Home Office
RF-19840;Roy Französisch;Consumer
JM-15580;Jill Matthias;Consumer
DB-13555;Dorothy Badders;Corporate
TZ-21580;Tracy Zic;Consumer
KH-16630;Ken Heidel;Corporate
IG-15085;Ivan Gibson;Consumer
BE-11410;Bobby Elias;Consumer
SP-20860;Sung Pak;Corporate
HA-14905;Helen Abelman;Consumer
AP-10720;Anne Pryor;Home Office
DW-13540;Don Weiss;Consumer
MC-18130;Mike Caudle;Corporate
BD-11500;Bradley Drucker;Consumer
RH-19555;Ritsa Hightower;Consumer
LR-16915;Lena Radford;Consumer
TB-21250;Tim Brockman;Consumer
JH-16180;Justin Hirsh;Consumer
PF-19225;Phillip Flathmann;Consumer
RD-19660;Robert Dilbeck;Home Office
RB-19465;Rick Bensley;Home Office
JM-16195;Justin MacKendrick;Consumer
SD-20485;Shirley Daniels;Home Office
EH-13990;Erica Hackney;Consumer
GM-14680;Greg Matthias;Consumer
GH-14665;Greg Hansen;Consumer
JF-15490;Jeremy Farry;Consumer
SV-20815;Stuart Van;Corporate
CS-12460;Chuck Sachs;Consumer
BN-11470;Brad Norvell;Corporate
CM-12445;Chuck Magee;Consumer
NP-18670;Nora Paige;Consumer
DF-13135;David Flashing;Consumer
JW-15220;Jane Waco;Corporate
CS-12490;Cindy Schnelling;Corporate
MT-17815;Meg Tillman;Consumer
JE-15745;Joel Eaton;Consumer
BD-11725;Bruce Degenhardt;Consumer
EB-13750;Edward Becker;Corporate
KH-16360;Katherine Hughes;Consumer
FH-14275;Frank Hawley;Corporate
CC-12100;Chad Cunningham;Home Office
AG-10765;Anthony Garverick;Home Office
AA-10315;Alex Avila;Consumer
CA-12310;Christine Abelman;Corporate
CL-11890;Carl Ludwig;Consumer
TB-21400;Tom Boeckenhauer;Consumer
KM-16660;Khloe Miller;Consumer
PL-18925;Paul Lucas;Home Office
LH-17020;Lisa Hazard;Consumer
JK-16120;Julie Kriz;Home Office
MG-17875;Michael Grace;Home Office
CD-12790;Cynthia Delaney;Home Office
SS-20515;Shirley Schmidt;Home Office
AS-10045;Aaron Smayling;Corporate
PG-18820;Patrick Gardner;Consumer
CP-12340;Christine Phan;Corporate
DM-13345;Denise Monton;Corporate
EM-14065;Erin Mull;Consumer
SH-19975;Sally Hughsby;Corporate
BE-11455;Brad Eason;Home Office
BW-11110;Bart Watters;Corporate
MH-17455;Mark Hamilton;Consumer
AS-10285;Alejandro Savely;Corporate
AF-10885;Art Foster;Consumer
RD-19810;Ross DeVincentis;Home Office
KD-16615;Ken Dana;Corporate
NF-18595;Nicole Fjeld;Home Office
AB-10015;Aaron Bergman;Consumer
RB-19645;Robert Barroso;Corporate
LF-17185;Luke Foster;Consumer
AS-10630;Ann Steele;Home Office
TS-21610;Troy Staebel;Consumer
GT-14635;Grant Thornton;Corporate
GR-14560;Georgia Rosenberg;Corporate
JS-15880;John Stevenson;Consumer
MP-17965;Michael Paige;Corporate
AH-10465;Amy Hunt;Consumer
AA-10645;Anna Andreadi;Consumer
HM-14860;Harry Marie;Corporate
SN-20710;Steve Nguyen;Home Office
ZC-21910;Zuschuss Carroll;Consumer
AT-10735;Annie Thurman;Consumer
JE-15475;Jeremy Ellison;Consumer
ME-18010;Michelle Ellison;Corporate
HE-14800;Harold Engle;Corporate
SN-20560;Skye Norling;Home Office
KH-16690;Kristen Hastings;Corporate
LS-17200;Luke Schmidt;Corporate
RL-19615;Rob Lucas;Consumer
ES-14080;Erin Smith;Corporate
TC-21475;Tony Chapman;Home Office
BT-11395;Bill Tyler;Corporate
KB-16315;Karl Braun;Consumer
AG-10525;Andy Gerbode;Corporate
SC-20260;Scott Cohen;Corporate
JW-16075;Julia West;Consumer
EJ-14155;Eva Jacobs;Consumer
CR-12820;Cyra Reiten;Home Office
TP-21415;Tom Prescott;Consumer
JK-15325;Jason Klamczynski;Corporate
SC-20695;Steve Chapman;Corporate
CP-12085;Cathy Prescott;Corporate
NP-18685;Nora Pelletier;Home Office
NP-18700;Nora Preis;Consumer
JH-15820;John Huston;Consumer
JM-15865;John Murray;Consumer
ML-17755;Max Ludwig;Home Office
SP-20545;Sibella Parks;Corporate
EG-13900;Emily Grady;Consumer
AG-10270;Alejandro Grove;Consumer
MH-17290;Marc Harrigan;Home Office
KT-16480;Kean Thornton;Consumer
BS-11800;Bryan Spruell;Home Office
MS-17365;Maribeth Schnelling;Consumer
JJ-15760;Joel Jenkins;Home Office
CB-12025;Cassandra Brandow;Consumer
KM-16720;Kunst Miller;Consumer
DB-12910;Daniel Byrd;Home Office
AW-10930;Arthur Wiediger;Home Office
JW-15955;Joni Wasserman;Consumer
TT-21265;Tim Taslimi;Corporate
JF-15190;Jamie Frazer;Consumer
DK-13225;Dean Katz;Corporate
RS-19420;Ricardo Sperren;Corporate
CG-12520;Claire Gute;Consumer
AM-10705;Anne McFarland;Consumer
SC-20440;Shaun Chance;Corporate
PB-19150;Philip Brown;Consumer
BF-11020;Barry Französisch;Corporate
DK-13375;Dennis Kane;Consumer
MG-17890;Michael Granlund;Home Office
TT-21070;Ted Trevino;Consumer
